index,thickness,slant,width,intensity,thickness_labels,slant_labels,width_labels,intensity_labels,y
0,0.7355568751977273,0.7438328935553487,0.7675133113285245,0.7471312567681869,1,1,1,1,1.0
1,0.7458528471926957,0.7456623097455601,0.7398645957449893,0.7539492771074997,1,1,1,1,1.0
2,0.2402492982342544,0.7403249938185912,0.24989045326070136,0.756887920098507,0,1,0,1,0.3
3,0.25076738896392786,0.7550208281953584,0.25841152420056523,0.7385701521166947,0,1,0,1,0.3
4,0.26082008311010796,0.7411061682478964,0.2615361757860739,0.7362780703230338,0,1,0,1,0.3
5,0.7407459719104013,0.7512983100479028,0.7625642013040393,0.24486724874333457,1,1,1,0,1.0
6,0.7417086476337773,0.7474662952018121,0.7459832640785901,0.2609448073249303,1,1,1,0,1.0
7,0.27715159742240647,0.7559114261332927,0.2325926138666472,0.7579024978417145,0,1,0,1,0.3
8,0.25192261919470044,0.7399292194057052,0.2492304997733792,0.744627858084587,0,1,0,1,0.3
9,0.24960154186798603,0.7721617946208985,0.24926749440286045,0.7388725635923457,0,1,0,1,0.3
10,0.2514182981959387,0.746737287941111,0.2528810885081504,0.7418930567958887,0,1,0,1,0.3
11,0.26316512089988076,0.24963325733412284,0.2517584655847091,0.2541091779505694,0,0,0,0,0.0
12,0.2347944635529222,0.7332697460471654,0.2331781300783903,0.7446627944366225,0,1,0,1,0.3
13,0.234447739933787,0.24430444341326304,0.260622015237008,0.2759516191110774,0,0,0,0,0.0
14,0.2541716015221654,0.24384959864726283,0.2651423353405148,0.260459706877035,0,0,0,0,0.0
15,0.23644766259144515,0.24457690638686533,0.2532769464516141,0.23198811120215307,0,0,0,0,0.0
16,0.23887654087413027,0.7489539598729118,0.24693729874429504,0.7565969910093066,0,1,0,1,0.3
17,0.2568038072109112,0.241733385971092,0.753729072599818,0.24019079375149496,0,0,1,0,0.3
18,0.7555774310592549,0.7409798454935145,0.7541629934238813,0.2429546022120137,1,1,1,0,1.0
19,0.7511555470478548,0.75327413242857,0.7367631288576627,0.24231543107819395,1,1,1,0,1.0
20,0.2619477797853337,0.7663982705895048,0.262632938707336,0.7488993577771367,0,1,0,1,0.3
21,0.7443640010043561,0.7459782304789773,0.7397024443871063,0.27570727532730344,1,1,1,0,1.0
22,0.24826525936387875,0.7549286428216309,0.23401342080267468,0.7409098202179392,0,1,0,1,0.3
23,0.7559022560906953,0.7449360317865077,0.7539617646085812,0.22782596469817387,1,1,1,0,1.0
24,0.74304547312698,0.7399197299454154,0.7410538444979912,0.2349974204374603,1,1,1,0,1.0
25,0.7469071519596938,0.7597121304064214,0.7495197229596448,0.772648439551789,1,1,1,1,1.0
26,0.2388867225758465,0.7343567017697051,0.2577272417976594,0.7545557346927894,0,1,0,1,0.3
27,0.7504269292695241,0.7548248373696603,0.7504949966213512,0.7560584760563436,1,1,1,1,1.0
28,0.2444266369045503,0.7563524139445911,0.2544161627182639,0.7517808140277906,0,1,0,1,0.3
29,0.258032407761096,0.7483141326270107,0.24670644655955043,0.7349134695621393,0,1,0,1,0.3
30,0.2368209739119922,0.7635313858731634,0.25639398376557015,0.7535342673810337,0,1,0,1,0.3
31,0.2544002073060862,0.2418708770945202,0.26411324578732853,0.24064186531771367,0,0,0,0,0.0
32,0.24685079648615932,0.745139327262925,0.262490028943423,0.7330169277165983,0,1,0,1,0.3
33,0.23307890487997845,0.7480111306823628,0.24311663958769827,0.7581331696370291,0,1,0,1,0.3
34,0.7584731547295306,0.7438128318498661,0.7694379797181725,0.7406032030797262,1,1,1,1,1.0
35,0.25030626896660135,0.24571418064596007,0.2670712242789893,0.245316940755043,0,0,0,0,0.0
36,0.7437596481549134,0.7494699029054901,0.7326376005621013,0.7426419367320221,1,1,1,1,1.0
37,0.7523240768798355,0.23967367906050255,0.7631108931115349,0.2628871153081326,1,0,1,0,0.7
38,0.7535294755953622,0.7484994300814727,0.7605188918175573,0.7405163684000313,1,1,1,1,1.0
39,0.2561462150871323,0.2644613430606955,0.7522699208939744,0.25021955077361474,0,0,1,0,0.3
40,0.7655178064155489,0.7537774373441932,0.7322835730779451,0.2513835588516315,1,1,1,0,1.0
41,0.7536727765596984,0.7525080465886979,0.7387472178917768,0.2633137121716843,1,1,1,0,1.0
42,0.2685995732977158,0.24297373355555818,0.24948741922762155,0.2570364412016258,0,0,0,0,0.0
43,0.7485237296009748,0.7400793733365251,0.7668954462009377,0.7497565969252793,1,1,1,1,1.0
44,0.7337569542732827,0.7411427332188871,0.756810112150727,0.24547337355550097,1,1,1,0,1.0
45,0.7602430540335329,0.7689395854457427,0.7380947978697225,0.7482013944412165,1,1,1,1,1.0
46,0.24039807079255127,0.24059107694389265,0.24907910871465117,0.25356273433385135,0,0,0,0,0.0
47,0.2462815844184995,0.24666148601630739,0.2682448993919669,0.24514270753752032,0,0,0,0,0.0
48,0.24852449707396185,0.7587078903844642,0.2566086715429686,0.7514766199972339,0,1,0,1,0.3
49,0.7504901904005155,0.7525285203137158,0.749758112828292,0.24746388965065835,1,1,1,0,1.0
50,0.7602838334616566,0.2549219876590077,0.7505079228578125,0.7396214275307182,1,0,1,1,0.7
51,0.7643776301063626,0.7414065406675721,0.7444741170983394,0.23458188051332704,1,1,1,0,1.0
52,0.25419986170818265,0.25162722704795,0.25212613434543957,0.25583231747320245,0,0,0,0,0.0
53,0.2569836821677152,0.26607223967857235,0.2509056858498546,0.2464197273122659,0,0,0,0,0.0
54,0.2559286386208202,0.2650526746767192,0.248715343657105,0.23170720261578628,0,0,0,0,0.0
55,0.7554550592424908,0.7490237354095161,0.7405817284257447,0.2538364088356294,1,1,1,0,1.0
56,0.7520038117110069,0.7594308625871469,0.7596559560021406,0.744476377361179,1,1,1,1,1.0
57,0.22773915682020623,0.25035565174897734,0.25373649040931123,0.2465256329082713,0,0,0,0,0.0
58,0.7335986370560422,0.7393364983713452,0.7682540919364236,0.7552626195050945,1,1,1,1,1.0
59,0.7558053643590008,0.7550385580088751,0.7510467946530183,0.7473597507627097,1,1,1,1,1.0
60,0.2365061969647646,0.7396485175562025,0.2543597226848662,0.7504225104833994,0,1,0,1,0.3
61,0.755167059909739,0.7478342112155987,0.7509055154942116,0.2537958089488937,1,1,1,0,1.0
62,0.7646037591075873,0.7601862033132156,0.74920374526255,0.25316675182730763,1,1,1,0,1.0
63,0.7518959228889224,0.2527035429306531,0.7517516625842812,0.23556152641708117,1,0,1,0,0.7
64,0.7350170554345312,0.753077629855178,0.74482962419763,0.7419217396086352,1,1,1,1,1.0
65,0.7299780626991521,0.2598310125633004,0.765816361843305,0.7493902472114634,1,0,1,1,0.7
66,0.7535802514098272,0.7677498873699771,0.75967770457122,0.7422370681683588,1,1,1,1,1.0
67,0.748517275321379,0.7509599454418161,0.7443871739945215,0.7376261307662809,1,1,1,1,1.0
68,0.24481834295691174,0.7507819939614061,0.2544411285198563,0.7672381171813264,0,1,0,1,0.3
69,0.768249382347172,0.7460368081216382,0.75129245028397,0.7667043321142695,1,1,1,1,1.0
70,0.25038895437128156,0.2635056379910043,0.2567252122811115,0.2671489344184988,0,0,0,0,0.0
71,0.7495567577546051,0.7613165255080565,0.7430108919168034,0.2605336069695671,1,1,1,0,1.0
72,0.7439963915841794,0.7704266957249771,0.23592451611196372,0.2550724817552663,1,1,0,0,0.7
73,0.7674723803978569,0.7587724708290996,0.746605586590586,0.7388301803335102,1,1,1,1,1.0
