index,thickness,slant,width,intensity,thickness_labels,slant_labels,width_labels,intensity_labels
0,0.2733786435044031,0.2537144244951053,0.25367451822574,0.25426021865745907,0,0,0,0
1,0.7644880824575461,0.7657937309665043,0.7545694693987505,0.7402396802678602,1,1,1,1
2,0.25593018569960446,0.23726673037028706,0.7640725902903189,0.25098264642073914,0,0,1,0
3,0.7465335276240601,0.7400495470736809,0.2566388098608147,0.7381284850075764,1,1,0,1
4,0.25899083892673025,0.2530452006684624,0.25052353030767593,0.24325068726150367,0,0,0,0
5,0.745424880952251,0.7690327359604684,0.7396086368154546,0.75399314335937,1,1,1,1
6,0.7602556980184751,0.7376581894740456,0.753294725426653,0.7476351198265512,1,1,1,1
7,0.775498994413592,0.7547482555875831,0.7489286470057007,0.7528398951427316,1,1,1,1
8,0.24340090922572624,0.2639599619920669,0.23830366989943863,0.26151050610882354,0,0,0,0
9,0.25277543090497245,0.2742534498267314,0.25655853395358486,0.240689099298018,0,0,0,0
10,0.25269425432548454,0.2853835033087842,0.7312148248542146,0.24498979693806167,0,0,1,0
11,0.26169628976759296,0.2538436715580376,0.25145953522895914,0.26219198800219035,0,0,0,0
12,0.24557237427990258,0.23330917188880246,0.7331926475919462,0.24913147745305106,0,0,1,0
13,0.7463146408069476,0.7387650758939194,0.7558375343502528,0.7567190874505476,1,1,1,1
14,0.2543085780704626,0.23854227307705625,0.2654268435181678,0.2574427061337678,0,0,0,0
15,0.24915441774193545,0.23952698812032774,0.2528420592465542,0.24943491813508228,0,0,0,0
16,0.24521046916432612,0.2359551520041692,0.26828797403498655,0.25810981264065547,0,0,0,0
17,0.26046056704528975,0.2499351022146843,0.76016564164989,0.24883367061375186,0,0,1,0
18,0.741348292282971,0.7454443383640029,0.7501887344279374,0.7534161870453402,1,1,1,1
19,0.7667144910245116,0.7412753316330292,0.2526406535518233,0.7547646584632305,1,1,0,1
20,0.24744821628874306,0.2438221722992492,0.25921414304009605,0.24517873848672564,0,0,0,0
21,0.7549889660310803,0.7615914980334808,0.7440990717577314,0.7580265588356945,1,1,1,1
22,0.2410911079418496,0.22778768374049913,0.7610433795590362,0.24882707371173346,0,0,1,0
23,0.7610730584499887,0.7363699660366865,0.24391892011900207,0.7291616494115801,1,1,0,1
24,0.753231210621895,0.7584113315562417,0.7511162587395583,0.7556153411273118,1,1,1,1
25,0.251889805020639,0.24822805325629735,0.25492893816772405,0.25579658392799365,0,0,0,0
